,MONTH,STORECODE,DAY,BILL_ID,BILL_AMT,QTY,VALUE,PRICE,GRP,SGRP,SSGRP,CMP,MBRD,BRD
14,M1,N1,4,T392,10.0,1.0,10.0,10.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,GUJ TEA PROCESSORS,WAGH BAKRI,WAGH BAKRI PATTI LEAF
15,M1,N1,4,T396,10.0,1.0,10.0,10.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,HASMUKHRAI & CO,SOCIETY,SOCIETY LEAF
16,M1,N1,4,T399,29.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CLASSIC SALTED
17,M1,N1,4,T399,29.0,1.0,19.0,19.0,ALL IODISED SALT,POWDERED SALT,POWDERED SALT,TATA CHEM,TATA,TATA SALT
18,M1,N1,4,T400,40.0,10.0,30.0,3.0,PRE-POST WASH PRODUCTS,FABRIC SOFTNERS,FABRIC SOFTNERS,HINDUSTAN UNILEVER LIMITED,COMFORT,COMFORT BLUE - MORNING FRESH
19,M1,N1,4,T400,40.0,1.0,10.0,10.0,MILK POWDERS,DAIRY WHITNERS,DAIRY WHITNERS,NESTLE INDIA,EVERYDAY,EVERYDAY DAIRY WHITNER
20,M1,N1,4,T401,108.0,1.0,108.0,108.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,TATA GLOBAL BEVERAGES LTD,TATA AGNI,TATA AGNI DUST
21,M1,N1,4,T402,32.0,16.0,32.0,2.0,SHAMPOO - BY SEGMENTS,SACHETS,SACHETS,PROCTER & GAMBLE,HEAD & SHOULDERS,HEAD & SHOULDERS NEW
22,M1,N1,4,T403,84.8,1.0,30.0,30.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
23,M1,N1,4,T403,84.8,1.0,20.0,20.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,NUTRICHOICE,NUTRICHOICE DIGESTIVE
24,M1,N1,4,T403,84.8,1.0,25.0,25.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK AMERICAN
25,M1,N1,4,T403,84.8,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,MARIE GOLD REGULAR
26,M1,N1,4,T406,66.67,1.0,12.0,12.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
27,M1,N1,4,T406,66.67,1.0,25.0,25.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK CREME SANDWICH
28,M1,N1,4,T406,66.67,2.0,10.0,5.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,I T C,SUNFEAST YIPPEE NOODLES,SUNFEAST YIPPEE MAGIC MASALA
29,M1,N1,4,T406,66.67,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
30,M1,N1,4,T406,66.67,1.0,9.67,9.67,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
31,M1,N1,4,T409,10.0,1.0,10.0,10.0,CHOCOLATE,SUGAR PANNED,SUGAR PANNED,MONDELEZ INTERNATIONAL,GEMS,GEMS BFF
32,M1,N1,4,T410,108.0,1.0,108.0,108.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,TATA GLOBAL BEVERAGES LTD,TATA AGNI,TATA AGNI DUST
33,M1,N1,4,T411,15.0,1.0,5.0,5.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BELT
34,M1,N1,4,T411,15.0,5.0,10.0,2.0,SHAMPOO - BY SEGMENTS,SACHETS,SACHETS,PROCTER & GAMBLE,PANTENE,PANTENE PRO-V NEW
35,M1,N1,4,T414,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
36,M1,N1,4,T415,10.0,1.0,10.0,10.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BITES
37,M1,N1,4,T416,109.8,1.0,95.0,95.0,CLEANERS - FLOOR,LIQUIDS,LIQUIDS,S C JOHNSON,MR MUSCLE,MR MUSCLE
38,M1,N1,4,T416,109.8,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,GENERAL MILLS,PILLSBURY,PILLSBURY
39,M1,N1,4,T416,109.8,1.0,5.0,5.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BELT
40,M1,N1,4,T418,40.0,4.0,40.0,10.0,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
41,M1,N1,4,T421,10.0,1.0,10.0,10.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,U FOODS INDIA PVT LTD,YOLI YOLA,YOLI YOLA
42,M1,N1,4,T424,43.0,2.0,24.0,12.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
43,M1,N1,4,T424,43.0,1.0,19.0,19.0,ALL IODISED SALT,POWDERED SALT,POWDERED SALT,TATA CHEM,TATA,TATA SALT
44,M1,N1,4,T425,250.5,1.0,90.0,90.0,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,COLGATE-PALMOLIVE,COLGATE MAX FRESH,COLGATE MAX FRESH ICY BLAST
45,M1,N1,4,T425,250.5,1.0,26.5,26.5,TOILET SOAPS (04/00),POPULAR,POPULAR,AVA CHOLAYIL HEALTHCARE,MEDIMIX,MEDIMIX CLASSIC
46,M1,N1,4,T425,250.5,1.0,134.0,134.0,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,PROCTER & GAMBLE,ARIEL,ARIEL COMPLETE
47,M1,N1,4,T427,200.0,1.0,40.0,40.0,CHOCOLATE,COUNT,COUNT,FERRERO INDIA PVT LTD,KINDER JOY,KINDER JOY GIRLS
48,M1,N1,4,T427,200.0,4.0,160.0,40.0,CHOCOLATE,COUNT,COUNT,FERRERO INDIA PVT LTD,KINDER JOY,KINDER JOY BOYS
49,M1,N1,4,T428,40.0,1.0,5.0,5.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BELT
50,M1,N1,4,T428,40.0,1.0,10.0,10.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
51,M1,N1,4,T428,40.0,2.0,20.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
52,M1,N1,4,T428,40.0,1.0,5.0,5.0,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,SHIVANI DETERGENT PVT LTD,SARGAM,SARGAM
53,M1,N1,4,T433,10.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CLASSIC SALTED
54,M1,N1,4,T437,30.0,1.0,20.0,20.0,BEVERAGES,BROWN POWDERS,BROWN POWDERS,ABBOTT HEALTHCARE LTD,PEDIASURE,PEDIASURE
55,M1,N1,4,T437,30.0,1.0,10.0,10.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
56,M1,N1,4,T438,5.0,1.0,5.0,5.0,CHOCOLATE,COUNT,COUNT,KAYEMPEE FOODS PVT LTD,MR. WAFER,MR. WAFER
57,M1,N1,4,T439,20.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
58,M1,N1,4,T439,20.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
59,M1,N1,4,T440,5.0,1.0,5.0,5.0,CHOCOLATE,COUNT,COUNT,KAYEMPEE FOODS PVT LTD,MR. WAFER,MR. WAFER
60,M1,N1,4,T443,23.0,1.0,8.0,8.0,ANTACIDS,POWDERS,POWDERS,GLAXO SMITHKLINE,ENO,ENO FRUIT SALT
61,M1,N1,4,T443,23.0,1.0,5.0,5.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,SURYA FOOD & AGRO,PRIYAGOLD,PRIYA GL CHES CRCK
62,M1,N1,4,T443,23.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,BRITANNIA INDS,50-50,50-50 REGULAR
63,M1,N1,4,T444,380.0,1.0,35.0,35.0,ALL IODISED SALT,POWDERED SALT,POWDERED SALT,TATA CHEM,TATA,TATA SALT LITE
64,M1,N1,4,T444,380.0,1.0,44.0,44.0,ALL AIR FRESHNERS(01/03),SOLIDS,SOLIDS,DABUR,ODONIL,ODONIL
65,M1,N1,4,T444,380.0,3.0,30.0,10.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,GUJ TEA PROCESSORS,WAGH BAKRI,WAGH BAKRI PATTI LEAF
66,M1,N1,4,T444,380.0,1.0,29.0,29.0,TOILET SOAPS (04/00),PREMIUM,PREMIUM,ANCHOR HEALTH,DYNA,DYNA LIME & ALOEVERA
67,M1,N1,4,T444,380.0,2.0,186.0,93.0,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,SUN FLOWER,LIBERTY OIL MILLS,SUNDAY,SUNDAY
68,M1,N1,4,T444,380.0,1.0,29.0,29.0,CLEANERS - UTENSIL,TRADITIONAL,BARS,HINDUSTAN UNILEVER LIMITED,VIM,VIM
69,M1,N1,4,T444,380.0,1.0,27.0,27.0,PRE-POST WASH PRODUCTS,LIQUID BLEACHES,LIQUID BLEACHES,HINDUSTAN UNILEVER LIMITED,RIN,RIN
70,M1,N1,4,T446,311.4,2.0,24.0,12.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,HINDUSTAN UNILEVER LIMITED,KNORR,KNORR DESI
71,M1,N1,4,T446,311.4,2.0,19.6,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
72,M1,N1,4,T446,311.4,2.0,58.8,29.4,CLEANERS - UTENSIL,TRADITIONAL,BARS,HINDUSTAN UNILEVER LIMITED,VIM,VIM
73,M1,N1,4,T446,311.4,5.0,49.0,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,NICE TIME,NICE TIME
74,M1,N1,4,T446,311.4,5.0,50.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
75,M1,N1,4,T446,311.4,2.0,20.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
76,M1,N1,4,T446,311.4,2.0,90.0,45.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
77,M1,N1,4,T447,30.0,1.0,10.0,10.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
78,M1,N1,4,T447,30.0,2.0,10.0,5.0,CONFECTIONERY - LOLLIPOP/FMR,LOLIPOPS,LOLIPOPS,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS
79,M1,N1,4,T447,30.0,1.0,10.0,10.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BITES
80,M1,N1,4,T448,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
81,M1,N1,4,T449,34.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
82,M1,N1,4,T449,34.0,1.0,24.0,24.0,VERMICELLI & NOODLE,PASTA,PASTA,NESTLE INDIA,MAGGI PAZZTA,MAGGI PAZTA CHESY TOMATO TWIST
83,M1,N1,4,T450,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
84,M1,N1,4,T452,20.0,2.0,20.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
85,M1,N1,4,T453,59.6,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
86,M1,N1,4,T453,59.6,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,GLUCOSE,GLUCOSE,PARLE PRODS,PARLE-G GOLD,PARLE-G GOLD
87,M1,N1,4,T453,59.6,2.0,20.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
88,M1,N1,4,T453,59.6,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
89,M1,N1,4,T453,59.6,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,PARLE PRODS,PARLE TOP,PARLE TOP
90,M1,N1,4,T454,80.0,1.0,80.0,80.0,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,FRUIT AND NUT
91,M1,N1,4,T455,10.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS MAGIC MASALA
92,M1,N1,4,T457,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
93,M1,N1,4,T458,165.0,1.0,5.0,5.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BELT
94,M1,N1,4,T458,165.0,1.0,160.0,160.0,HOME INSECTICIDES CTG  (8/93),AEROSOL,AEROSOL,GODREJ CONSUMER PRODS,HIT,HIT
95,M1,N1,4,T459,9.8,1.0,9.8,9.8,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,SHIVANI DETERGENT PVT LTD,SARGAM,SARGAM
96,M1,N1,4,T460,39.0,1.0,39.0,39.0,TOILET SOAPS (04/00),PREMIUM,PREMIUM,GODREJ CONSUMER PRODS,GODREJ NO 1,GODREJ NO 1 ROSEWATER & ALMOND
97,M1,N1,4,T462,320.0,1.0,320.0,320.0,PACKAGED ATTA (1/95),ATTA,ATTA,SANGHVI FOODS PVT LTD,SILVER COIN,SILVER COIN
98,M1,N1,4,T463,20.0,1.0,20.0,20.0,BREAKFAST CEREALS,READY TO EAT CEREALS,KIDS,KELLOGG'S INDIA,KELLOGG'S KPAK,KELLOGG'S CHOCOS FILLS KPAK
99,M1,N1,4,T464,44.8,7.0,35.0,5.0,BEVERAGES,BROWN POWDERS,BROWN POWDERS,MONDELEZ INTERNATIONAL,BOURNVITA,BOURNVITA
100,M1,N1,4,T464,44.8,2.0,9.8,4.9,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,VITA MARIE GOLD
101,M1,N1,4,T467,10.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CHILE LIMON
102,M1,N1,4,T470,151.0,2.0,20.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CHILE LIMON
103,M1,N1,4,T470,151.0,1.0,10.0,10.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,TATA GLOBAL BEVERAGES LTD,TATA GOLD,TATA GOLD
104,M1,N1,4,T470,151.0,1.0,73.0,73.0,HAIR OILS PKTP(8/02),RIGID,VACNO,MARICO INDS,PARACHUTE,PARACHUTE ADV ALOEVERA ENR CNO
105,M1,N1,4,T470,151.0,2.0,20.0,10.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
106,M1,N1,4,T470,151.0,1.0,28.0,28.0,SPICES (03/04),PURE,CHILLY POWDER-PURE SPICES,S NARENDRA KUMAR,EVEREST,EVEREST
107,M1,N1,4,T472,46.0,1.0,46.0,46.0,BUTTER MARGR  (4/94),BUTTER,SALTED,G C M M F,AMUL,AMUL
108,M1,N1,4,T474,93.0,1.0,93.0,93.0,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,SUN FLOWER,LIBERTY OIL MILLS,SUNDAY,SUNDAY
109,M1,N1,4,T476,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
110,M1,N1,4,T477,40.0,1.0,40.0,40.0,CHOCOLATE,COUNT,COUNT,FERRERO INDIA PVT LTD,KINDER JOY,KINDER JOY BOYS
111,M1,N1,4,T478,226.0,1.0,125.0,125.0,KETCHUPS/SAUCES,KETCHUPS/SAUCES,KETCHUPS/SAUCES,HINDUSTAN UNILEVER LIMITED,KISSAN,KISSAN FRESH KETCHUP
112,M1,N1,4,T478,226.0,1.0,101.0,101.0,CHEESE        (4/94),PROCESSED CHEESE,PROCESSED CHEESE,G C M M F,AMUL,AMUL
113,M1,N1,4,T479,86.0,1.0,86.0,86.0,COCONUT OIL PKTYP (08/02),BRANDED,RIGID,MARICO INDS,PARACHUTE,PARACHUTE
114,M1,N1,4,T480,83.0,4.0,48.0,12.0,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
115,M1,N1,4,T480,83.0,1.0,35.0,35.0,ALL IODISED SALT,POWDERED SALT,POWDERED SALT,TATA CHEM,TATA,TATA SALT LITE
116,M1,N1,4,T482,20.0,2.0,20.0,10.0,CHOCOLATE,SUGAR PANNED,SUGAR PANNED,MONDELEZ INTERNATIONAL,GEMS,GEMS BFF
117,M1,N1,4,T483,10.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
118,M1,N1,4,T484,58.0,2.0,58.0,29.0,TOOTH BRUSH   (7/93),MANUAL,MANUAL,PROCTER & GAMBLE,ORAL-B,CAVITY DEFENSE BLACK
119,M1,N1,4,T485,60.0,3.0,60.0,20.0,BREAKFAST CEREALS,READY TO EAT CEREALS,KIDS,KELLOGG'S INDIA,KELLOGG'S KPAK,KELLOGG'S CHOCOS FILLS KPAK
120,M1,N1,4,T486,18.0,2.0,18.0,9.0,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
121,M1,N1,4,T488,9.8,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
122,M1,N1,4,T489,50.0,3.0,30.0,10.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,GENERAL MILLS,PILLSBURY,PILLSBURY
123,M1,N1,4,T489,50.0,1.0,10.0,10.0,SALTY SNACKS (2/97),GATHIA/PAPRI/RIBLON,GATHIA/PAPRI/RIBLON,PEPSICO INDIA,KUR KURE,KUR KURE SOLID MASTI
124,M1,N1,4,T489,50.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
125,M1,N1,4,T490,10.0,1.0,10.0,10.0,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
126,M1,N1,4,T492,20.0,2.0,20.0,10.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
127,M1,N1,4,T494,19.6,2.0,19.6,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
128,M1,N1,5,T495,40.0,2.0,40.0,20.0,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),PROCTER & GAMBLE,PAMPERS,PAMPERS BABY DRY PANTS
129,M1,N1,5,T499,19.6,2.0,19.6,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
130,M1,N1,5,T500,639.0,1.0,66.0,66.0,VANASPATI CONS PACK (8/94),VANASPATI CONS PACK (8/94),VANASPATI CONS PACK (8/94),GODREJ CONSUMER PRODS,GODREJ,GODREJ
131,M1,N1,5,T500,639.0,1.0,10.0,10.0,SALTY SNACKS (2/97),EXTRUDED SNACKS,EXTRUDED SNACKS,GUILTFREE INDUSTRIES,TOO YUMM,TOO YUMM MULTIGRAIN CHIPS
132,M1,N1,5,T500,639.0,1.0,109.0,109.0,CHEESE        (4/94),PROCESSED CHEESE,PROCESSED CHEESE,G C M M F,AMUL,AMUL
133,M1,N1,5,T500,639.0,1.0,220.0,220.0,BUTTER MARGR  (4/94),BUTTER,SALTED,G C M M F,AMUL,AMUL
134,M1,N1,5,T500,639.0,1.0,234.0,234.0,CHEESE        (4/94),PROCESSED CHEESE,PROCESSED CHEESE,G C M M F,AMUL,AMUL
135,M1,N1,5,T502,10.0,1.0,10.0,10.0,AGARBATTI & DHOOPBATTI,AGARBATTI,AGARBATTI,N RANGA RAO & SONS,CYCLE,CYCLE 3 IN 1
136,M1,N1,5,T503,109.0,1.0,109.0,109.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,GUJ TEA PROCESSORS,WAGH BAKRI,WAGH BAKRI PATTI LEAF
137,M1,N1,5,T505,27.0,1.0,5.0,5.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,SUPREME NUTRI GRAIN PVT LTD,ZOOPY,ZOOPY
138,M1,N1,5,T505,27.0,1.0,12.0,12.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
139,M1,N1,5,T505,27.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
140,M1,N1,5,T506,20.0,2.0,20.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,TREAT,TREAT JAM
141,M1,N1,5,T507,45.0,1.0,45.0,45.0,ALL AIR FRESHNERS(01/03),SOLIDS,SOLIDS,DABUR,ODONIL,ODONIL
142,M1,N1,5,T508,9.8,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
143,M1,N1,5,T511,93.0,1.0,93.0,93.0,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,SUN FLOWER,LIBERTY OIL MILLS,SUNDAY,SUNDAY
144,M1,N1,5,T512,129.0,1.0,25.0,25.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK CREME SANDWICH
145,M1,N1,5,T512,129.0,2.0,10.0,5.0,SQSH CRDLS & SFT DRNK-CONVERTD,CONCTN POWDERS,CONCTN POWDERS,MONDELEZ INTERNATIONAL,TANG,TANG
146,M1,N1,5,T512,129.0,1.0,94.0,94.0,SKIN CREAMS,ANTISEPTIC CREAMS,ANTISEPTIC CREAMS,HIMALAYA DRUG,HIMALAYA,HIMALAYA DIAPER RASH
